Incident ID,Issue Title,Issue Description,Date Created,Date Resolved,Engineer Involved,Team Involved,Status,Criticality
1000,Backup Failure,Scheduled backups are failing due to storage issues. Issue detected in Azure Backup on server srv-sec-05.,2025-01-08 10:00:00,2025-01-09 13:00:00,Eve,DevOps,In Progress,P1
1001,Service Downtime,A critical service went down unexpectedly. Affected service: E-commerce Platform running on srv-web-01.,2025-01-18 10:00:00,2025-01-20 09:00:00,David,Networking,In Progress,P3
1002,SSL Certificate Expiry,Expired SSL certificate causing HTTPS connection issues. SSL certificate expired for E-commerce Platform hosted on srv-sec-05.,2025-01-20 20:00:00,2025-01-21 05:00:00,Eve,Security,In Progress,P2
1003,Memory Leak,Application is consuming excessive memory leading to slow performance. Issue traced back to Billing System running on srv-app-03.,2025-01-10 02:00:00,2025-01-11 03:00:00,Jack,Networking,In Progress,P4
1004,Network Latency,Users experiencing slow response times due to network issues. Affected systems include srv-db-02 and srv-sec-05.,2025-01-25 13:00:00,2025-01-28 05:00:00,Hank,Infrastructure,Escalated,P3
1005,High CPU Usage,Server CPU usage spiked above 90% for an extended period. Observed on server srv-app-03 with IP 192.168.1.30.,2025-01-20 01:00:00,2025-01-22 18:00:00,Grace,DevOps,In Progress,P2
1006,Network Latency,Users experiencing slow response times due to network issues. Affected systems include srv-db-02 and srv-backup-04.,2025-01-22 00:00:00,2025-01-23 12:00:00,David,Security,Resolved,P3
1007,Disk Space Full,"Critical server ran out of disk space, causing failures. Server srv-web-01 with IP 192.168.1.20 has reached full disk capacity.",2025-01-19 00:00:00,2025-01-21 12:00:00,David,Security,Escalated,P1
1008,Disk Space Full,"Critical server ran out of disk space, causing failures. Server srv-web-01 with IP 192.168.1.10 has reached full disk capacity.",2025-01-27 06:00:00,2025-01-29 23:00:00,Frank,Support,Escalated,P2
1009,Unauthorized Access Attempt,Security alerts triggered due to repeated login failures. Repeated login failures detected from IP 192.168.1.10 targeting srv-web-01.,2025-01-05 08:00:00,2025-01-07 11:00:00,Bob,Networking,Resolved,P3
1010,High CPU Usage,Server CPU usage spiked above 90% for an extended period. Observed on server srv-sec-05 with IP 192.168.1.10.,2025-01-06 14:00:00,2025-01-07 18:00:00,Ivy,Networking,Resolved,P2
1011,Network Latency,Users experiencing slow response times due to network issues. Affected systems include srv-web-01 and srv-db-02.,2025-01-26 04:00:00,2025-01-27 04:00:00,Charlie,Support,Escalated,P1
1012,Database Connection Failure,App unable to connect to the database intermittently. Affected database: PostgreSQL running on srv-backup-04 with IP 192.168.1.30.,2025-01-10 18:00:00,2025-01-12 15:00:00,Frank,Infrastructure,Resolved,P1
1013,Unauthorized Access Attempt,Security alerts triggered due to repeated login failures. Repeated login failures detected from IP 192.168.1.30 targeting srv-app-03.,2025-01-23 03:00:00,2025-01-23 17:00:00,Jack,Infrastructure,Resolved,P3
1014,Application Crash,Unexpected crashes observed in production environment. Impacted application: HR Portal on server srv-app-03.,2025-01-16 11:00:00,2025-01-17 12:00:00,Hank,Database,Escalated,P2
1015,High CPU Usage,Server CPU usage spiked above 90% for an extended period. Observed on server srv-sec-05 with IP 192.168.1.50.,2025-01-15 23:00:00,2025-01-18 11:00:00,Charlie,DevOps,In Progress,P3
1016,Application Crash,Unexpected crashes observed in production environment. Impacted application: E-commerce Platform on server srv-web-01.,2025-01-23 20:00:00,2025-01-26 16:00:00,Hank,Security,In Progress,P1
1017,High CPU Usage,Server CPU usage spiked above 90% for an extended period. Observed on server srv-backup-04 with IP 192.168.1.30.,2025-01-24 09:00:00,2025-01-27 00:00:00,Jack,Security,Resolved,P2
1018,SSL Certificate Expiry,Expired SSL certificate causing HTTPS connection issues. SSL certificate expired for Billing System hosted on srv-db-02.,2025-01-14 21:00:00,2025-01-15 10:00:00,Bob,Database,Escalated,P3
1019,Memory Leak,Application is consuming excessive memory leading to slow performance. Issue traced back to E-commerce Platform running on srv-db-02.,2025-01-09 22:00:00,2025-01-11 13:00:00,Charlie,Support,Resolved,P3
1020,Service Downtime,A critical service went down unexpectedly. Affected service: HR Portal running on srv-app-03.,2025-01-16 03:00:00,2025-01-17 14:00:00,Hank,Security,Escalated,P4
1021,Memory Leak,Application is consuming excessive memory leading to slow performance. Issue traced back to Inventory Management running on srv-sec-05.,2025-01-22 12:00:00,2025-01-22 22:00:00,Hank,Database,Resolved,P1
1022,Service Downtime,A critical service went down unexpectedly. Affected service: Inventory Management running on srv-web-01.,2025-01-29 10:00:00,2025-01-31 17:00:00,Grace,DevOps,Escalated,P1
